Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSMUSG00000039385,Cdh6,0.9136491021565583,1.8537555660896157,0,0.31953620536852584,-1.1430691520782095,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000023630122188725892,0.23682779558251263,-1.460110031483219,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021323755402879862,0.11604142488000013,-2.5285137136591866,0
ENSMUSG00000025370,Cdh9,0.359784747987419,-0.005856850499925237,0.8687881137979064,0.19151478190471552,-1.119684298212539,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000067559803888784816,0.16003120944216387,-1.2578111006631039,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000013323068134227445,0.9328109393386775,1.6853142029953456,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005479238170675901
ENSMUSG00000021919,Chat,0.01782054774835497,-2.8629034284568875,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000123317205602614,0.23149208166380397,3.876511381989219,0,0.016095092903665908,-2.2076467952338685,0.000000000000000000000000000000022040882997685948,0.00511947462705883,-3.8572397644390595,0.0000000000000000000000000000000000000000000000000000000000000011275939690344577
ENSMUSG00000022860,Chodl,0.014360247214693811,-0.2418681972032113,0.17026740255890552,0.029536169704361823,1.4324219176242003,0.000000000000007136190943733987,0.003678878377980779,-2.1156029270969166,0.00000007410796256240591,0.0008532457711764716,-4.028470963381996,0.0000000000000004915748152204885
ENSMUSG00000045613,Chrm2,0.38937031755022194,-0.5429593017850795,0.000000000000000000000000000000000000000000000000000000000007815202391309729,0.8951152576646723,1.4351410989255007,0,0.322131787971942,-0.5986536085737366,0.0000000000000000000000009655793409548022,0.051408057713382416,-3.3406007878376203,0
ENSMUSG00000041378,Cldn5,0.12733905963873066,-3.6804065477028503,0,0.1681868516923533,-2.620561811971739,0,6.823169741661226,5.604387432289605,0,0.14014561791573546,-2.68604664036618,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013762088283418705
ENSMUSG00000021097,Clmn,0.879911171953362,-2.0811198090418657,0,5.306257545199856,2.1987957508572427,0,1.715506973632162,-0.38518232624462967,0.00000000000000004617076249348314,1.9965951045529435,-0.1468937909568343,0.0007182755281919756
ENSMUSG00000030092,Cntn6,1.2290122420431022,0.7592254131123234,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004672939557830216,1.0216316533728464,0.045414276661104175,0.2250796186718816,0.5564303546695928,-0.9127974603251976,0.000000000000000000000000000000000000000000000000000000037166568769196063,0.2133114427941179,-2.3579291078889124,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000043070968392649315
ENSMUSG00000031772,Cntnap4,0.725452006882062,0.43936541095647597,0.000000000000000000000000000000000000026384436190688155,0.7863770023199517,0.4174302595612859,0.00000000000000000000000000053133101898318445,0.2257911604485703,-1.5989925509416612,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012790991169424293,0.25170750249705914,-1.4443318320192338,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003600776513452744
ENSMUSG00000067028,Cntnap5b,0.4789488476153752,0.5832740253424513,0.000000000000000000000000000000000000010592193347988575,0.2000746272648968,-1.2429864723593698,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003026232986713319,0.09197195944951947,-2.259027220235651,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033461238194304295,0.8020510249058833,1.1679414852405863,0.000000000000000000000000000000000000000000000000000000000000000000000000010720093549969718
